Id_Periodo,Anio,AnioMes_Letras,Mes,Mes_Letras,Semestre,Trimestre,Bimestre
201601,2016,2016 - ENERO,01,ENERO,1° SEMESTRE,1° TRIMESTRE,1° BIMESTRE
201602,2016,2016 - FEBRERO,02,FEBRERO,1° SEMESTRE,1° TRIMESTRE,1° BIMESTRE
201603,2016,2016 - MARZO,03,MARZO,1° SEMESTRE,1° TRIMESTRE,2° BIMESTRE
201604,2016,2016 - ABRIL,04,ABRIL,1° SEMESTRE,2° TRIMESTRE,2° BIMESTRE
201605,2016,2016 - MAYO,05,MAYO,1° SEMESTRE,2° TRIMESTRE,3° BIMESTRE
201606,2016,2016 - JUNIO,06,JUNIO,1° SEMESTRE,2° TRIMESTRE,3° BIMESTRE
201607,2016,2016 - JULIO,07,JULIO,2° SEMESTRE,3° TRIMESTRE,4° BIMESTRE
201608,2016,2016 - AGOSTO,08,AGOSTO,2° SEMESTRE,3° TRIMESTRE,4° BIMESTRE
201609,2016,2016 - SEPTIEMBRE,09,SEPTIEMBRE,2° SEMESTRE,3° TRIMESTRE,5° BIMESTRE
201610,2016,2016 - OCTUBRE,10,OCTUBRE,2° SEMESTRE,4° TRIMESTRE,5° BIMESTRE
201611,2016,2016 - NOVIEMBRE,11,NOVIEMBRE,2° SEMESTRE,4° TRIMESTRE,6° BIMESTRE
201612,2016,2016 - DICIEMBRE,12,DICIEMBRE,2° SEMESTRE,4° TRIMESTRE,6° BIMESTRE
201701,2017,2017 - ENERO,01,ENERO,1° SEMESTRE,1° TRIMESTRE,1° BIMESTRE
201702,2017,2017 - FEBRERO,02,FEBRERO,1° SEMESTRE,1° TRIMESTRE,1° BIMESTRE
201703,2017,2017 - MARZO,03,MARZO,1° SEMESTRE,1° TRIMESTRE,2° BIMESTRE
201704,2017,2017 - ABRIL,04,ABRIL,1° SEMESTRE,2° TRIMESTRE,2° BIMESTRE
201705,2017,2017 - MAYO,05,MAYO,1° SEMESTRE,2° TRIMESTRE,3° BIMESTRE
201706,2017,2017 - JUNIO,06,JUNIO,1° SEMESTRE,2° TRIMESTRE,3° BIMESTRE
201707,2017,2017 - JULIO,07,JULIO,2° SEMESTRE,3° TRIMESTRE,4° BIMESTRE
201708,2017,2017 - AGOSTO,08,AGOSTO,2° SEMESTRE,3° TRIMESTRE,4° BIMESTRE
201709,2017,2017 - SEPTIEMBRE,09,SEPTIEMBRE,2° SEMESTRE,3° TRIMESTRE,5° BIMESTRE
201710,2017,2017 - OCTUBRE,10,OCTUBRE,2° SEMESTRE,4° TRIMESTRE,5° BIMESTRE
201711,2017,2017 - NOVIEMBRE,11,NOVIEMBRE,2° SEMESTRE,4° TRIMESTRE,6° BIMESTRE
