Codigo_Item,Descripcion_Item,Fg_Tipo,Descripcion_Tipo_Item,Fg_Estado
0001A ,ADMN IM SARSCOV2 30MCG/0.3ML DIL RECON 1RA DOSIS,CP,Procedimiento (CPT),0
0002A ,ADMN IM SARSCOV2 30MCG/0.3ML DIL RECON 2DA DOSIS,CP,Procedimiento (CPT),0
00100,ANESTESIA PARA PROCEDIMIENTOS EN GLÁNDULAS SALIVALES INCLUYENDO BIOPSIA,CP,Procedimiento (CPT),1
00102,ANESTESIA PARA PROCEDIMIENTOS DE CORRECCIÓN PLÁSTICA DE LABIO HENDIDO,CP,Procedimiento (CPT),1
00103,ANESTESIA PARA PROCEDIMIENTOS RECONSTRUCTIVOS DEL PÁRPADO (P. EJ. BLEFAROPLASTIA CIRUGÍA DE PTOSIS),CP,Procedimiento (CPT),1
00104,ANESTESIA PARA TERAPIA ELECTRO CONVULSIVA,CP,Procedimiento (CPT),1
00106,ANESTESIA EN EL SERVICIO DE RADIOLOGÍA PARA PROCEDIMIENTOS INVASIVOS,CP,Procedimiento (CPT),1
00108,EVALUACIÓN PRE ANESTÉSICA A PACIENTE HOSPITALIZADO,CP,Procedimiento (CPT),1
0011A ,ADMN IM SARSCOV2 100MCG/0.5ML 1RA DOSIS,CP,Procedimiento (CPT),0
00120,ANESTESIA PARA PROCEDIMIENTOS EN EL OÍDO EXTERNO MEDIO E INTERNO INCLUYENDO BIOPSIA NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00124,ANESTESIA PARA PROCEDIMIENTOS EN EL OÍDO EXTERNO MEDIO E INTERNO INCLUYENDO BIOPSIA OTOSCOPÍA,CP,Procedimiento (CPT),1
00126,ANESTESIA PARA PROCEDIMIENTOS EN EL OÍDO EXTERNO MEDIO E INTERNO INCLUYENDO BIOPSIA TIMPANOTOMÍA,CP,Procedimiento (CPT),1
0012A ,ADMN IM SARSCOV2 100MCG/0.5ML 2DA DOSIS,CP,Procedimiento (CPT),0
00140,ANESTESIA PARA PROCEDIMIENTOS EN EL OJO NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00141,ANESTESIA PARA PROCEDIMIENTOS EXTRA OCULARES,CP,Procedimiento (CPT),1
00142,ANESTESIA PARA PROCEDIMIENTOS EN EL OJO CIRUGÍA DEL CRISTALINO,CP,Procedimiento (CPT),1
00144,ANESTESIA PARA PROCEDIMIENTOS EN EL OJO TRASPLANTE DE CÓRNEA,CP,Procedimiento (CPT),1
00145,ANESTESIA PARA PROCEDIMIENTOS EN EL OJO CIRUGÍA DE VÍTREO Y RETINA,CP,Procedimiento (CPT),1
00147,ANESTESIA PARA PROCEDIMIENTOS EN EL OJO IRIDECTOMÍA,CP,Procedimiento (CPT),1
00148,ANESTESIA PARA PROCEDIMIENTOS EN EL OJO OFTALMOSCOPÍA,CP,Procedimiento (CPT),1
00160,ANESTESIA PARA PROCEDIMIENTOS EN LA NARIZ Y SENOS PARANASALES NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00162,ANESTESIA PARA PROCEDIMIENTOS EN LA NARIZ Y SENOS PARANASALES CIRUGÍA RADICAL,CP,Procedimiento (CPT),1
00164,ANESTESIA PARA PROCEDIMIENTOS EN LA NARIZ Y SENOS PARANASALES BIOPSIA TEJIDO BLANDO,CP,Procedimiento (CPT),1
