Id_Etnia,Descripcion_Etnia
01,ACHUAR
02,AIMARA
03,AMAHUACA
04,ARABELA
05,ASHANINKA
06,ASHENINKA
07,AWAJÚN
08,BORA
09,CAPANAHUA
10,CASHINAHUA
11,CHAMICURO
12,CHAPRA
13,CHITONAHUA
14,ESE EJA
15,HARAKBUT
16,IKITU
17,IÑAPARI
18,ISCONAHUA
19,JAQARU
20,JÍBARO
21,KAKATAIBO
22,KAKINTE
23,KANDOZI
24,KICHWA
25,KUKAMA KUKAMIRIA
26,MADIJA
27,MAIJUNA
28,MARINAHUA
29,MASHCO PIRO
30,MASTANAHUA
31,MATSÉS
32,MATSIGENKA
33,MUNICHE
34,MURUI-MUINANI
35,NAHUA
36,NANTI
37,NOMATSIGENGA
38,OCAINA
39,OMAGUA
40,QUECHUAS
41,RESÍGARO
42,SECOYA
43,SHARANAHUA
44,SHAWI
45,SHIPIBO-KONIBO
46,SHIWILU
47,TIKUNA
48,URARINA
49,URO
50,VACACOCHA
51,WAMPIS
52,YAGUA
53,YAMINAHUA
54,YANESHA
55,YINE
56,AFROPERUANO
57,BLANCO
58,MESTIZO
59,ASIATICODESCENDIENTE
60,OTRO
