Id_Ubigueo_Inei,Id_Ubigueo_Reniec,Departamento,Provincia,Distrito,Codigo_Departamento_Inei,Codigo_Provincia_Inei,Codigo_Distrito_Inei,Codigo_Departamento_Reniec,Codigo_Provincia_Reniec,Codigo_Distrito_Reniec
010101,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,01,01,01,01,01,01
010102,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,01,01,02,01,01,02
010103,010103,AMAZONAS,CHACHAPOYAS,BALSAS,01,01,03,01,01,03
010104,010104,AMAZONAS,CHACHAPOYAS,CHETO,01,01,04,01,01,04
010105,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,01,01,05,01,01,05
010106,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,01,01,06,01,01,06
010107,010107,AMAZONAS,CHACHAPOYAS,GRANADA,01,01,07,01,01,07
010108,010108,AMAZONAS,CHACHAPOYAS,HUANCAS,01,01,08,01,01,08
010109,010109,AMAZONAS,CHACHAPOYAS,LA JALCA,01,01,09,01,01,09
010110,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,01,01,10,01,01,10
010111,010111,AMAZONAS,CHACHAPOYAS,LEVANTO,01,01,11,01,01,11
010112,010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,01,01,12,01,01,12
010113,010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,01,01,13,01,01,13
010114,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,01,01,14,01,01,14
010115,010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,01,01,15,01,01,15
010116,010116,AMAZONAS,CHACHAPOYAS,OLLEROS,01,01,16,01,01,16
010117,010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,01,01,17,01,01,17
010118,010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,01,01,18,01,01,18
010119,010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,01,01,19,01,01,19
010120,010120,AMAZONAS,CHACHAPOYAS,SOLOCO,01,01,20,01,01,20
010121,010121,AMAZONAS,CHACHAPOYAS,SONCHE,01,01,21,01,01,21
010206,010201,AMAZONAS,BAGUA,LA PECA,01,02,06,01,02,01
010202,010202,AMAZONAS,BAGUA,ARAMANGO,01,02,02,01,02,02
010203,010203,AMAZONAS,BAGUA,COPALLIN,01,02,03,01,02,03
010204,010204,AMAZONAS,BAGUA,EL PARCO,01,02,04,01,02,04
010201,010205,AMAZONAS,BAGUA,BAGUA,01,02,01,01,02,05
010205,010206,AMAZONAS,BAGUA,IMAZA,01,02,05,01,02,06
010301,010301,AMAZONAS,BONGARA,JUMBILLA,01,03,01,01,03,01
010304,010302,AMAZONAS,BONGARA,COROSHA,01,03,04,01,03,02
010305,010303,AMAZONAS,BONGARA,CUISPES,01,03,05,01,03,03
010302,010304,AMAZONAS,BONGARA,CHISQUILLA,01,03,02,01,03,04
010303,010305,AMAZONAS,BONGARA,CHURUJA,01,03,03,01,03,05
010306,010306,AMAZONAS,BONGARA,FLORIDA,01,03,06,01,03,06
010308,010307,AMAZONAS,BONGARA,RECTA,01,03,08,01,03,07
010309,010308,AMAZONAS,BONGARA,SAN CARLOS,01,03,09,01,03,08
010310,010309,AMAZONAS,BONGARA,SHIPASBAMBA,01,03,10,01,03,09
010311,010310,AMAZONAS,BONGARA,VALERA,01,03,11,01,03,10
010312,010311,AMAZONAS,BONGARA,YAMBRASBAMBA,01,03,12,01,03,11
010307,010312,AMAZONAS,BONGARA,JAZAN,01,03,07,01,03,12
010501,010401,AMAZONAS,LUYA,LAMUD,01,05,01,01,04,01
010502,010402,AMAZONAS,LUYA,CAMPORREDONDO,01,05,02,01,04,02
010503,010403,AMAZONAS,LUYA,COCABAMBA,01,05,03,01,04,03
010504,010404,AMAZONAS,LUYA,COLCAMAR,01,05,04,01,04,04
