Id_Ups,Descripcion_Ups
101002,SALUD AMBIENTAL
101701,SERVICIOS SOCIAL
110000,FARMACIA
300101,ANESTESIOLOGIA
300102,TERAPIA DEL DOLOR
300201,CARDIOLOGIA
300202,CARDIOLOGIA INTERVENCIONISTA
300203,CARDIOLOGIA NUCLEAR
300204,ECOCARDIOGRAFÍA
300205,HEMODINAMIA
300206,VALORACION RIESGO CARDIOVASCULAR
300301,CIRUGIA
300302,CIRUGIA LAPAROSCOPICA
300303,CIRUGIA EN CONSULTORIO EXTERNO / TOPICO
300401,CIRUGÍA DE CABEZA Y CUELLO Y MAXILOFACIAL
300402,CIRUGÍA ORAL Y MAXILO FACIAL
300403,CIRUGÍA ONCOLÓGICA DE CABEZA Y CUELLO Y MAXILO FACIAL
300501,CIRUGIA ONCOLOGICA
300502,CIRUGIA ONCOLOGICA DE MAMAS TEJIDOS BLANDOS Y PIEL
300503,CIRUGIA ONCOLOGICA ABDOMINAL
300504,CIRUGIA TORAXICA ONCOLOGICA
300505,CIRUGIA PLASTICA RECONSTRUCTIVA ONCOLOGICA
300506,NEUROCIRUGIA ONCOLOGICA
300507,TRAUMATOLOGIA ONCOLOGICA
300601,CIRUGIA ESTÉTICA
300602,CIRUGIA RECONSTRUCTIVA
300701,CIRUGÍA PEDIÁTRICA
300801,CIRUGÍA CARDIOVASCULAR
300802,CIRUGÍA CARDIOVASCULAR PEDIÁTRICA
300803,CIRUGÍA TORACICA Y CARDIOVASCULAR
300804,CIRUGIA TORAXICA / NEUMOLOGICA
300805,CIRUGÍA VASCULAR Y ANGIOLOGIA
300901,DERMATOLOGÍA
300902,DERMATOLOGIA ESTETICA
300903,DERMATOLOGÍA PEDIÁTRICA
300904,DERMATOPATOLOGIA
301001,ENDOCRINOLOGÍA
301101,ENFERMEDADES INFECCIOSAS / INFECTOLOGÍA
301102,ENFERMEDADES METAXENICAS Y OTRAS TRANSMITIDAS POR VECTORES
301103,ENFERMEDADES ZOONOTICAS
301104,MEDICINA TROPICAL
301201,CONSEJERIA
301202,CRECIMIENTO Y DESARROLLO
301203,ENFERMERIA
301204,INMUNIZACIONES
301301,ENDOSCOPIA DIGESTIVA
301302,GASTROENTEROLOGÍA
301303,HEPATOLOGIA
301304,HEMORRAGIA DIGESTIVA
301305,PANCREAS
301401,GENÉTICA MEDICA
301501,ATENCION INTEGRAL DEL ADULTO MAYOR
301502,GERIATRÍA
